0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j2.png HTTP/1.1" 200 16252
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j3.png HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j4.png HTTP/1.1" 200 13210
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j5.png HTTP/1.1" 200 14614
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j6.png HTTP/1.1" 200 9874
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j8.png HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/j7.png HTTP/1.1" 200 18202
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b2.png HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b1.png HTTP/1.1" 200 17978
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b3.png HTTP/1.1" 200 32120
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b6.png HTTP/1.1" 200 15900
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b4.png HTTP/1.1" 200 21052
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b5.png HTTP/1.1" 200 25838
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b9.png HTTP/1.1" 200 11078
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b7.png HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b8.png HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /Project/Giay/b10.png HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:15 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:19 +0700] "GET /Project/gioHangController HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:19 +0700] "GET /Project/noEmpty.png HTTP/1.1" 200 12775
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:20 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1891
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:25 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:26 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:27 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:27 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:27 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:30 +0700] "GET /Project/dangKyController HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:18:31 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:05 +0700] "POST /Project/dangKyController HTTP/1.1" 500 2009
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:16 +0700] "GET /Project/gioHangController HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:16 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:16 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:18 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:37 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:38 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:39 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:52 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:53 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:54 +0700] "GET /Project/matHangController?maGiay=1 HTTP/1.1" 200 4620
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:56 +0700] "GET /Project/matHangController?maGiay=2 HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:57 +0700] "POST /Project/gioHangController?maGiay=2&tenGiay=Adidas%20Prophere%20Grey%20Solar%20Red&gia=647500&anh=Giay/a4.png&mauGiay=X%C3%A1m HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:57 +0700] "GET /Project/gioHangController HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:59 +0700] "GET /Project/muaHangController?btnXacNhan=Mua+h%C3%A0ng HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:19:59 +0700] "GET /Project/dangNhapController HTTP/1.1" 500 1353
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:25:51 +0700] "GET /Project/trangChuController HTTP/1.1" 200 36749
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:25:51 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:25:53 +0700] "GET /Project/matHangController?maGiay=2 HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [01/Sep/2023:22:25:54 +0700] "POST /Project/gioHangController?maGiay=2&tenGiay=Adidas%20Prophere%20Grey%20Solar%20Red&gia=647500&anh=Giay/a4.png&mauGiay=X%C3%A1m HTTP/1.1" 302 -
