127.0.0.1 - - [11/Sep/2023:18:22:45 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b1.png HTTP/1.1" 200 17978
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b3.png HTTP/1.1" 200 32120
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b2.png HTTP/1.1" 200 9994
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b4.png HTTP/1.1" 200 21052
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b5.png HTTP/1.1" 200 25838
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b6.png HTTP/1.1" 200 15900
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b7.png HTTP/1.1" 200 19124
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b9.png HTTP/1.1" 200 11078
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b10.png HTTP/1.1" 200 10480
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/Giay/b8.png HTTP/1.1" 200 12656
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /Project/GiayThem/3-2-430x430.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [11/Sep/2023:18:22:48 +0700] "GET /favicon.ico HTTP/1.1" 404 762
